Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/3/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,39.46432507,39.4419244,43.77565543,43.35638554,44.48882396,44.22594491,43.28292541,40.90216606,42.44488789,43.06184433,45.41611336,43.23377097,41.8701107,44.62052529,44.80611393,46.58815906,50.78687358,55.01191582,51.78711596,54.06621686,53.88303551,51.72701857,50.65859697,55.89658718,58.79984062,56.24767048,58.688699,59.1618677,60.23596878,56.62264329,57.21883542,57.25114724,57.25757153,59.25368751,77.74485355,
Africa Eastern and Southern,AFE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,38.22278033,37.3605865,39.91252999,38.2950203,38.48310756,40.38791217,40.62219657,39.38520167,40.76679917,39.42446027,39.60678348,37.20285341,35.53565844,35.77339819,34.32842623,35.63141341,36.74993098,36.44324319,40.6183261,42.18602643,41.12787009,41.07109604,44.34277753,43.37423757,44.08483609,44.54372846,,66.09253647,69.17521907,74.83969298,77.8437103,77.71122941,74.92020205,73.40333907,82.52935306,74.97989263,77.0031299,62.43237609,71.32643204,80.26804518,85.82185385,95.03396467,94.06508779,78.96142684,79.27365183,83.70919289,74.86631109,77.68117496,74.18394175,72.29011301,65.01538736,63.04266728,64.35818128,64.29971985,63.56642857,59.60531568,
Afghanistan,AFG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,9.272726698,8.753036331,7.154471399,5.068046797,5.186110823,4.971302571,3.801587392,3.252323873,4.026537119,4.871608718,4.553119058,3.833135548,5.545543454,5.487692526,5.376082618,4.710234844,5.428782585,4.133634193,4.559191769,6.057859065,5.979514377,5.837979043,,,,,,,,,,,,,,,,,,,,,,,,,4.842856866,6.839982237,9.388327721,10.58413068,11.57504424,4.959180376,4.47210363,4.321685417,3.9410571,3.981493795,3.888321746,3.841881205,3.512317033,3.22995723,3.071935946,
Africa Western and Central,AFW,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,5.709677624,6.073139178,7.681384683,8.645369083,8.75554527,8.780642649,8.907636876,9.481404949,9.917208587,9.712510669,8.035229142,9.640626,9.953855246,10.42087932,9.461103075,12.00245494,12.17807486,14.64172358,16.94059686,16.5272987,17.20462084,9.471381659,10.17542089,11.11340166,11.16357436,11.09704623,14.52664863,15.14350761,14.06479681,13.59711635,13.13384351,12.79761991,12.21475951,11.24662165,8.863194085,8.250219766,7.592029939,8.039239687,8.488844923,8.932914878,8.745148415,9.401574403,8.479536126,9.127257137,8.847272063,8.854788474,8.638408576,12.50157616,15.4214704,16.62139222,13.2015349,12.04358875,11.80507071,12.7578851,14.15902066,14.64951734,16.09182832,15.17111338,13.50386631,13.93205401,14.62848851,
Angola,AGO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.24010831,21.0984099,17.00068506,14.93527049,15.34092156,12.86004698,
Albania,ALB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21344481,39.08286378,41.15368699,40.80458311,39.78654408,39.26167849,37.15074121,36.59900068,34.75783752,32.98579974,34.12693832,37.99129905,
Andorra,AND,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,12.46223744,15.17906269,14.71980146,14.45100102,14.98149708,16.30866887,14.9405463,14.5535508,16.52761603,16.7694893,11.51143005,14.8414223,15.35646757,16.88160393,19.75440075,19.52512707,17.88609077,20.00162341,25.64064086,29.79557857,31.84354546,34.70038084,38.70127548,36.56068757,,,,21.30665479,20.68731026,21.82985055,23.64299252,25.29546549,24.75170843,26.45609875,31.78987731,32.06039135,29.71059326,31.79714738,32.31340142,31.41753619,30.42000314,30.59469198,29.88940136,31.65508506,31.62005022,36.64455706,36.23319042,35.2044723,34.76600247,36.84740034,39.97409246,48.5592813,56.32161068,54.12225606,,,,
United Arab Emirates,ARE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.70520709,80.72004075,76.32495078,78.15898604,90.79016696,
Argentina,ARG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,13.61124436,14.08812177,12.01111434,11.5200602,10.6266941,10.10666974,11.0604754,10.94357073,13.86592329,15.97850118,17.5387441,18.02169837,17.63452604,16.70557572,19.17380828,16.44134984,13.56276729,18.38290986,20.55711741,24.05622763,25.39579275,33.55230678,33.90637227,28.11827564,25.00099884,17.36414138,16.90722949,21.29731488,20.33583548,39.71749502,15.60169481,12.58720349,15.44533545,18.28460493,20.280578,19.96060756,20.18700183,21.93345876,24.15329877,24.89334375,23.89473362,20.83357465,15.3318584,10.76270592,9.682518196,10.65349292,11.91026166,13.09854135,12.31394671,12.41620754,12.69010625,14.00871512,15.21281502,15.72909201,13.82376925,14.41423304,13.66763343,15.95849734,,,,
