"Title","Female employment rate (aged 16 to 64, seasonally adjusted): %"
"CDID","LF25"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%
"
"Release date","14-02-2023"
"Next release","14 March 2023"
"Important notes",
"1971","52.7"
"1972","53.2"
"1973","54.6"
"1974","55.4"
"1975","55.6"
"1976","55.3"
"1977","55.4"
"1978","55.9"
"1979","56.6"
"1980","56.7"
"1981","55.6"
"1982","54.6"
"1983","54.2"
"1984","55.5"
"1985","56.6"
"1986","57.6"
"1987","59.0"
"1988","61.0"
"1989","62.8"
"1990","63.3"
"1991","62.5"
"1992","61.8"
"1993","61.8"
"1994","62.2"
"1995","62.8"
"1996","63.5"
"1997","64.2"
"1998","64.7"
"1999","65.3"
"2000","65.9"
"2001","66.1"
"2002","66.3"
"2003","66.4"
"2004","66.7"
"2005","66.8"
"2006","66.9"
"2007","66.6"
"2008","66.8"
"2009","65.9"
"2010","65.5"
"2011","65.4"
"2012","65.9"
"2013","66.7"
"2014","68.0"
"2015","68.8"
"2016","69.6"
"2017","70.5"
"2018","71.2"
"2019","72.0"
"2020","71.9"
"2021","71.9"
"2022","72.2"
"1971 Q1","52.8"
"1971 Q2","52.7"
"1971 Q3","52.7"
"1971 Q4","52.6"
"1972 Q1","52.9"
"1972 Q2","53.1"
"1972 Q3","53.3"
"1972 Q4","53.6"
"1973 Q1","54.2"
"1973 Q2","54.5"
"1973 Q3","54.7"
"1973 Q4","54.9"
"1974 Q1","55.1"
"1974 Q2","55.3"
"1974 Q3","55.6"
"1974 Q4","55.7"
"1975 Q1","55.6"
"1975 Q2","55.6"
"1975 Q3","55.6"
"1975 Q4","55.5"
"1976 Q1","55.4"
"1976 Q2","55.3"
"1976 Q3","55.3"
"1976 Q4","55.3"
"1977 Q1","55.4"
"1977 Q2","55.4"
"1977 Q3","55.4"
"1977 Q4","55.5"
"1978 Q1","55.6"
"1978 Q2","55.8"
"1978 Q3","55.9"
"1978 Q4","56.2"
"1979 Q1","56.3"
"1979 Q2","56.5"
"1979 Q3","56.7"
"1979 Q4","56.9"
"1980 Q1","56.9"
"1980 Q2","56.8"
"1980 Q3","56.6"
"1980 Q4","56.3"
